Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CAP
LXFT,"Luxoft Holding, Inc.",43.8,$1.47B,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/lxft,#VALUE!
PRTY,Party City Holdco Inc.,15.25,$1.47B,2015,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/prty,#VALUE!
BXMX,Nuveen S&P 500 Buy-Write Income Fund,14.3,$1.48B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bxmx,#VALUE!
HRI,Herc Holdings Inc.,52.07,$1.48B,2016,n/a,n/a,https://www.nasdaq.com/symbol/hri,#VALUE!
LZB,La-Z-Boy Incorporated,31.4,$1.48B,n/a,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/lzb,#VALUE!
USPH,"U.S. Physical Therapy, Inc.",116.75,$1.48B,1992,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/usph,#VALUE!
CAAP,Corporacion America Airports SA,9.33,$1.49B,2018,Transportation,Aerospace,https://www.nasdaq.com/symbol/caap,#VALUE!
CLS,"Celestica, Inc.",12.32,$1.49B,1998,Technology,Electrical Products,https://www.nasdaq.com/symbol/cls,#VALUE!
GNL,"Global Net Lease, Inc.",22.08,$1.49B,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/gnl,#VALUE!
SXI,Standex International Corporation,109,$1.4B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/sxi,#VALUE!
WTTR,"Select Energy Services, Inc.",13.17,$1.4B,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/wttr,#VALUE!
BXG,Bluegreen Vacations Corporation,20.15,$1.51B,2017,Finance,Real Estate,https://www.nasdaq.com/symbol/bxg,#VALUE!
CTB,Cooper Tire & Rubber Company,29.9,$1.51B,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/ctb,#VALUE!
BKD,Brookdale Senior Living Inc.,7.83,$1.52B,2005,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/bkd,#VALUE!
IBP,"Installed Building Products, Inc.",48.2,$1.52B,2014,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/ibp,#VALUE!
ABG,Asbury Automotive Group Inc,75,$1.53B,2002,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/abg,#VALUE!
BMI,"Badger Meter, Inc.",52.55,$1.53B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/bmi,#VALUE!
NPO,EnPro Industries,72.6,$1.53B,n/a,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/npo,#VALUE!
PBI,Pitney Bowes Inc.,8.14,$1.53B,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/pbi,#VALUE!
